split,feature_selection_method,feature_name
Split06,MutualInformation,num__job_dens_qm
Split06,MutualInformation,num__job_dens
Split06,MutualInformation,num__job_dens_em
Split06,MutualInformation,num__zch_qm
Split06,MutualInformation,num__transit_stops_em
Split06,MutualInformation,num__swlk_cov
Split06,L1_Lasso,num__stv_mi
Split06,L1_Lasso,num__job_dens
Split06,L1_Lasso,num__swlk_len
Split06,L1_Lasso,num__sig_int
Split06,L1_Lasso,num__Retail Area_em
Split06,L1_Lasso,num__transit_stops_em
Split06,L1_Lasso,num__Commercial Area_qm
Split06,L1_Lasso,num__transit_stops_qm
Split06,L1_Lasso,num__stv_mi_hm
Split06,L1_Lasso,num__job_dens_hm
Split06,L1_Lasso,cat__speed_type_20 mph-30 mph
Split06,L1_Lasso,cat__crossing_class_unmarked
Split06,RandomForest,num__job_dens_em
Split06,RandomForest,num__stv_mi_hm
Split06,RandomForest,num__isect_dens_hm
Split06,RandomForest,num__stv_mi_qm
Split06,RandomForest,num__stv_mi_em
Split06,RandomForest,num__swlk_len
Split06,RandomForest,num__sig_int
Split06,RandomForest,num__job_dens
Split06,RandomForest,num__dist_CBD
Split06,RandomForest,num__med_inc_qm
Split06,RandomForest,num__job_dens_hm
Split06,RandomForest,num__isect_dens_em
Split06,RandomForest,num__Retail Area
Split06,RandomForest,num__sig_dens_qm
Split06,RandomForest,num__bus_stops_hm
Split06,RandomForest,num__sig_dens
Split06,RandomForest,num__transit_stops_hm
Split06,RandomForest,num__zch_qm
Split06,RandomForest,num__Park Area_hm
Split06,RandomForest,num__Retail Area_em
Split07,MutualInformation,num__walk_comm_hm
Split07,MutualInformation,num__sig_int_hm
Split07,MutualInformation,num__isect_dens_em
Split07,MutualInformation,num__sig_dens_hm
Split07,MutualInformation,num__sig_dens_qm
Split07,MutualInformation,num__job_dens_hm
Split07,MutualInformation,num__job_dens_em
Split07,MutualInformation,num__job_dens_qm
Split07,MutualInformation,num__dist_CBD
Split07,MutualInformation,num__transit_stops_hm
Split07,MutualInformation,num__job_dens
Split07,MutualInformation,num__sig_int_qm
Split07,MutualInformation,num__hh_hm
Split07,MutualInformation,num__transit_stops_qm
Split07,MutualInformation,num__bus_stops_hm
Split07,MutualInformation,num__bus_stops_qm
Split07,MutualInformation,num__isect_dens_hm
Split07,MutualInformation,num__transit_stops_em
Split07,MutualInformation,num__zch_qm
Split07,MutualInformation,num__sig_dens_em
Split07,L1_Lasso,num__Number of
Split07,L1_Lasso,num__stv_mi
Split07,L1_Lasso,num__pop_dens
Split07,L1_Lasso,num__Retail Area
Split07,L1_Lasso,num__bus_stops_em
Split07,L1_Lasso,num__sig_int_em
Split07,L1_Lasso,num__med_inc_em
Split07,L1_Lasso,num__Commercial Area_em
Split07,L1_Lasso,num__isect_dens_hm
Split07,L1_Lasso,num__job_dens_hm
