fold,feature_selection_method,feature_name
5,MutualInformation,num__isect_dens_hm
5,MutualInformation,num__zch_qm
5,L1_Lasso,num__Number of
5,L1_Lasso,num__stv_mi
5,L1_Lasso,num__swlk_len
5,L1_Lasso,num__sig_int
5,L1_Lasso,num__sig_int_em
5,L1_Lasso,num__walk_comm_em
5,L1_Lasso,num__Commercial Area_em
5,L1_Lasso,num__Retail Area_em
5,L1_Lasso,num__job_dens_hm
5,L1_Lasso,num__Park Area_hm
5,L1_Lasso,num__transit_stops_hm
5,L1_Lasso,cat__class_type_mot-sec
5,L1_Lasso,cat__class_type_sec-sec
5,L1_Lasso,cat__speed_type_20 mph-30 mph
5,L1_Lasso,cat__speed_type_25 mph-55 mph
5,L1_Lasso,cat__crossing_class_unmarked
5,RandomForest,num__isect_dens_hm
5,RandomForest,num__job_dens_em
5,RandomForest,num__stv_mi_hm
5,RandomForest,num__job_dens_hm
5,RandomForest,num__walk_comm_hm
5,RandomForest,num__swlk_len
5,RandomForest,num__sig_int_hm
5,RandomForest,num__sig_dens_em
5,RandomForest,num__zch_hm
5,RandomForest,num__sig_int_qm
5,RandomForest,num__job_dens_qm
5,RandomForest,num__sig_dens_qm
5,RandomForest,num__sig_dens_hm
5,RandomForest,num__Park Area_hm
5,RandomForest,num__stv_ann
5,RandomForest,num__stv_mi
5,RandomForest,num__sig_int_em
5,RandomForest,num__stv_mi_qm
5,RandomForest,num__dist_CBD
5,RandomForest,num__job_dens
