model,R2_train_mean,R2_train_std,Corr_R2_val_mean,Corr_R2_val_std,MAPE_val_mean,MAPE_val_std,SMAPE_val_mean,SMAPE_val_std,RMSE_val_mean,RMSE_val_std,feature_selection,n_features,cv_strategy
RandomForest,0.9309500056937795,0.005559971155450141,0.6838356994944228,0.23493725255136252,109.63343971644179,79.24591542019945,58.08717621416063,14.473584795068318,86.54917465561499,33.4976066010939,Mutual_Information,15,10-Fold
HistGB_Poisson,0.9194221412533649,0.01073288832592231,0.6369442321465179,0.24976408569522268,82.47489244006545,31.914007154638526,60.718473713407526,13.296870705575184,97.48170379091574,31.126239402047414,Mutual_Information,15,10-Fold
RandomForest,0.9347470418113009,0.004576652189351093,0.6907495273050911,0.23461255484729174,96.5351998031193,62.584932457791645,54.66761293701759,13.818418271735428,80.78348888085856,32.110716272263694,Random_Forest,15,10-Fold
HistGB_Poisson,0.9586163443354134,0.010239277003929004,0.5614268072441779,0.272687876713771,86.72401055616844,44.732036482922176,59.513738455274144,12.05833160342189,95.95422777555568,36.298588184348766,Random_Forest,15,10-Fold
RandomForest,0.9246899664107285,0.0051740297620873794,0.6610967336634151,0.26143468990513413,110.88242542507558,84.44419977141028,59.081714281384066,13.161658658807477,86.66267795821169,34.57658998175119,F_Regression,15,10-Fold
HistGB_Poisson,0.9046135449432426,0.012285452431681764,0.6140277787988742,0.22617435150951148,104.71890507495827,79.4188305646063,63.58593364804587,10.742649244721218,104.20645561147819,22.620001556380917,F_Regression,15,10-Fold
RandomForest,0.9458247516196433,0.005770767509217289,0.7088385016880265,0.2521220677860452,86.55491191261169,43.90727717480341,52.674373684139525,13.392587071373388,78.87361330814134,33.68590349867786,L1_Lasso,20,10-Fold
HistGB_Poisson,0.9797478719206971,0.002965441294103005,0.6543715948877739,0.2581782954013998,60.14978220569433,17.68055492027277,50.01856966886232,10.010021244535968,81.60790783070861,32.891329079824295,L1_Lasso,20,10-Fold
RandomForest,0.933488771390661,0.006638811117858457,0.6344943640531481,0.23846981035678183,112.57266822021145,87.627065964204,59.057919534928985,14.557333176868076,87.46145749877056,35.22266608237731,Mutual_Information,20,10-Fold
HistGB_Poisson,0.966045424629289,0.004144906896843242,0.7308841749239717,0.22625773105523206,74.47214439012973,39.44245036159273,56.69768231294402,12.352434273263544,87.41770926890172,33.43723691642055,Mutual_Information,20,10-Fold
RandomForest,0.9398255363789019,0.0056007811295791235,0.6677204384852565,0.305977158146204,88.68318907915392,49.931406522637666,56.15190619807667,12.577004798633121,81.54836578140642,32.54460862303444,Random_Forest,20,10-Fold
HistGB_Poisson,0.9774631414189194,0.0030721036214516346,0.7019576911922334,0.23453621186628862,67.41897951921798,33.11707987922927,53.867120204568224,9.97556540514264,78.47505159502154,39.430442475932786,Random_Forest,20,10-Fold
