model,R2_train_mean,R2_train_std,Corr_R2_val_mean,Corr_R2_val_std,MAPE_val_mean,MAPE_val_std,SMAPE_val_mean,SMAPE_val_std,RMSE_val_mean,RMSE_val_std,best_params,feature_selection,n_features,cv_strategy
ExtraTrees,0.9401145188991712,0.005680648947987155,0.7258900267751336,0.21870878397452162,79.66815308903911,34.00009763375019,51.15642961954952,12.76296495198443,74.55258042151182,36.840070055237575,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 25}",L1_Lasso,15,RepeatedKFold_3x10
GradientBoosting_Huber,0.9693909488351776,0.007150093270388327,0.707229655714017,0.21758552354611616,69.84993866269899,32.14532491248599,51.533271700799055,12.351474680570664,75.22675963557143,28.788980040640475,"{'subsample': 1.0, 'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_depth': 7, 'learning_rate': 0.01, 'alpha': 0.8}",L1_Lasso,15,RepeatedKFold_3x10
PoissonRegressor,0.8022979029529796,0.017248586058519196,0.7150325445170227,0.2181925543986267,65.37911599753207,24.74709169697597,48.83771725146009,12.187353502145042,77.99831343234881,46.28311739503976,{'alpha': 10.0},L1_Lasso,15,RepeatedKFold_3x10
Bagging_HistGB,0.8908366363176355,0.01717414274154858,0.6303256772431419,0.25059254144469667,67.63857944919079,24.397484901920375,50.607734216625566,13.280008076040637,81.73559300048233,34.85746026977883,"{'max_features': 0.8, 'max_samples': 1.0, 'n_estimators': 5}",L1_Lasso,15,RepeatedKFold_3x10
RandomForest,0.9477787263035674,0.007672339321358619,0.6615102479179106,0.24090701472059955,81.90592129503975,35.484959251868055,52.229408169634155,11.88404570080541,80.2469430406859,14.371125125289549,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 20}",L1_Lasso,20,5-Fold
HistGB_Poisson,0.9613975787974656,0.006130989282056794,0.6721824049924358,0.20613546025262316,55.211345311757704,14.565738486268325,47.75255094134749,8.2524814200062,75.6673045490953,21.60285334119574,"{'min_samples_leaf': 10, 'max_iter': 500, 'max_depth': 7, 'learning_rate': 0.01, 'l2_regularization': 1.0}",L1_Lasso,20,5-Fold
HistGB_SquaredError,0.9704729489833372,0.00848394413283856,0.6494567265510082,0.22820110199457158,71.8637796025086,9.524986080536785,60.010180037177726,8.304377807385478,83.45087255801675,14.660215459195808,"{'min_samples_leaf': 10, 'max_iter': 300, 'max_depth': 10, 'learning_rate': 0.05, 'l2_regularization': 10.0}",L1_Lasso,20,5-Fold
ExtraTrees,0.9494344194249287,0.0071761726840852995,0.6573134025080496,0.22809469552358388,71.58862229941185,31.744963941842922,49.22259776957307,11.841402437853029,80.17007958357513,14.824433717313497,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 25}",L1_Lasso,20,5-Fold
GradientBoosting_Huber,0.9972589283321238,0.0013396969162819006,0.6781744939389933,0.21105989709272882,62.91217812218089,22.120584377182322,49.208812782336686,8.674123292152917,76.4445500866183,11.23576142433993,"{'subsample': 1.0, 'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_depth': 7, 'learning_rate': 0.1, 'alpha': 0.8}",L1_Lasso,20,5-Fold
PoissonRegressor,0.8209309202276707,0.012577152712364117,0.5663459090167423,0.15629762880224127,64.41538312785612,18.386297303439843,48.435454083455,7.747797250288279,99.06442168213273,24.13757380272679,{'alpha': 10.0},L1_Lasso,20,5-Fold
