model,R2_train_mean,R2_train_std,Corr_R2_val_mean,Corr_R2_val_std,MAPE_val_mean,MAPE_val_std,SMAPE_val_mean,SMAPE_val_std,RMSE_val_mean,RMSE_val_std,cv_strategy,experiment,feature_selection,n_features,best_params,target_transform
RandomForest,0.9279270353203959,0.006074937976009221,0.6858060613516389,0.24245716458290772,91.60441272697115,45.91921872477933,55.37778429450608,13.911119056870021,79.0033304891473,36.621483648402354,Repeated_3x10,HP_Tuning,Random_Forest,30.0,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 20}",
HistGB_Poisson,0.9661005085167887,0.004450534775170649,0.6947831088166228,0.22872219163661392,66.34881224037801,34.18505347591225,50.66749130503295,12.924886053266135,73.7215796659707,39.82601456537242,Repeated_3x10,HP_Tuning,Random_Forest,30.0,"{'min_samples_leaf': 10, 'max_iter': 500, 'max_depth': 7, 'learning_rate': 0.01, 'l2_regularization': 1.0}",
HistGB_SquaredError,0.9459281381710051,0.011850219969635964,0.6739504645726572,0.23991898989608204,79.96713024063995,46.45739319947853,53.48359322585027,13.774935198078607,81.48021776036836,37.49025462179323,Repeated_3x10,HP_Tuning,Random_Forest,30.0,"{'min_samples_leaf': 10, 'max_iter': 800, 'max_depth': 10, 'learning_rate': 0.01, 'l2_regularization': 10.0}",
ExtraTrees,0.9553118669937196,0.004969912955924016,0.6836734853900872,0.24562302592216415,89.1028280011018,47.96815817494439,55.0020994878266,13.435852243654482,79.64412621601,36.796476705472855,Repeated_3x10,HP_Tuning,Random_Forest,30.0,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 15}",
GradientBoosting_Huber,0.9546959700051726,0.008064329677031832,0.6825073292292061,0.2191220213928057,83.34157663546961,49.81109577124843,54.1365708153155,12.87501780485076,79.05673054744744,34.835081200479976,Repeated_3x10,HP_Tuning,Random_Forest,30.0,"{'subsample': 0.8, 'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_depth': 5, 'learning_rate': 0.01, 'alpha': 0.8}",
PoissonRegressor,0.7746760585981926,0.02121361120346969,0.6020766175793656,0.27359773359536554,81.12875514724917,23.24078589674437,56.29315174238524,11.924068162655647,95.37843913603226,52.4921792844652,Repeated_3x10,HP_Tuning,Random_Forest,30.0,{'alpha': 10.0},
Bagging_HistGB,0.9158578468615246,0.010030584435339227,0.6985798003921582,0.24274110016999167,65.12126439979188,24.563118507219855,50.70866747097276,12.87633404366986,76.3709226618166,35.599897765214514,Repeated_3x10,HP_Tuning,Random_Forest,30.0,"{'max_features': 0.8, 'max_samples': 1.0, 'n_estimators': 10}",
RandomForest,,,,,55.13314696361296,18.05592365647858,51.3709796247292,12.00821385107048,81.81233830307566,38.220254797706716,10-Fold,Log_Transform,L1_Lasso,20.0,,log1p
HistGB_Poisson,,,,,59.41251892215938,17.630007497299268,55.28570988340211,14.291712544097575,106.76318673907197,41.95709821979283,10-Fold,Log_Transform,L1_Lasso,20.0,,log1p
HistGB_SquaredError,,,,,59.525223751756,15.01115973289446,53.953682315995266,12.276306949681326,94.38537813042552,36.445973954685144,10-Fold,Log_Transform,L1_Lasso,20.0,,log1p
ExtraTrees,,,,,64.81605594017984,31.91645575005198,50.58383854495571,11.785311502895457,77.23552256982032,30.836466986650123,10-Fold,Log_Transform,L1_Lasso,20.0,,log1p
Stack_RF+HistGB+ExtraTrees,0.9570931020759526,0.03393685412416084,0.7370624418131972,0.23073254872686538,61.70398240239833,22.011669497158202,48.97085789020743,11.728151650896281,76.1291330877099,32.87748259564327,10-Fold,Stacking,L1_Lasso,20.0,,
Stack_RF+HistGB_Poisson+HistGB_SE,0.9571190323830537,0.023193565906451965,0.7226446206400344,0.2538575369450315,68.07261490342768,30.220682125185693,49.43002077112642,12.543042895110617,79.67404824801886,35.55903260007298,10-Fold,Stacking,L1_Lasso,20.0,,
